id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
189,LennaLeFay,True,2007-09-23T23:37:59+00:00,mania,"['mouse', 'keyboard']",731,46,0,1473.8,,1393,134831,154141.0,24187.0,95.0346,1565,47
192,scyfir,False,2007-09-24T00:02:02+00:00,osu,,14,0,0,0.0,,994,75829,,,82.5964,547,27
195,purophet,False,2007-09-24T00:54:39+00:00,osu,,5,0,0,0.0,,223,28990,,,93.1698,0,0
198,ddrballer123,False,2007-09-24T01:30:19+00:00,osu,,13,0,0,4.48253,,26,1175,2543434.0,375780.0,62.8602,38,3
199,BSOrchid,False,2007-09-24T01:31:12+00:00,osu,,0,0,0,0.0,,44,5720,,,71.3955,0,0
201,Raine_old,False,2007-09-24T01:53:40+00:00,osu,,0,0,0,0.0,,18,2340,,,64.5554,0,0
204,Ameto11,False,2007-09-24T02:21:41+00:00,osu,"['mouse', 'keyboard']",297,1,0,736.939,,5297,354193,964687.0,33759.0,96.1095,539,60
230,Eek__old,False,2007-09-24T11:22:16+00:00,osu,,4,0,0,0.0,,127,16510,,,82.2692,0,0
233,MLAKun,False,2007-09-24T11:57:17+00:00,osu,,7,0,0,0.0,,345,39150,,,88.7569,228,17
241,Zephyr54,False,2007-09-24T13:55:26+00:00,mania,,104,2,0,0.0,,108,11538,,,97.6793,2353,24
251,Camisado_old,False,2007-09-24T17:47:15+00:00,osu,,3,0,0,0.0,,132,17160,,,82.3587,0,0
253,Anemone_old,False,2007-09-24T18:36:26+00:00,osu,,0,0,0,0.0,,44,5720,,,78.6,0,0
254,Bigs_old,False,2007-09-24T19:03:08+00:00,osu,,0,0,0,0.0,,0,0,,,0.0,0,1
261,JC FirE_old,False,2007-09-24T21:34:07+00:00,osu,,22,0,0,0.0,,3061,352230,,,97.6867,702,60
263,YoKozo_old,False,2007-09-24T22:37:32+00:00,osu,,2,0,0,0.0,,49,3370,,,86.631,157,9
265,DJ Tomoe,False,2007-09-25T00:08:35+00:00,osu,,3,0,0,0.0,,112,14560,,,88.2663,0,0
271,Nimajneb_old,False,2007-09-25T02:26:53+00:00,osu,,1,0,0,0.0,,59,7570,,,71.8851,0,6
272,legsweeper,False,2007-09-25T02:37:14+00:00,mania,,2044,25,0,6060.67,,2000,221410,17713.0,723.0,97.1122,4250,60
274,Oddbrother,False,2007-09-25T03:26:26+00:00,osu,"['mouse', 'tablet', 'touch']",2,0,0,0.0,,113,14690,,,90.5932,398,16
