user_type;model;true_avg_unfiltered;true_avg_filtered;true_avg_delta;true_top_unfiltered;true_top_filtered;true_top_delta;true_min_unfiltered;true_min_filtered;true_min_delta;mse_unfiltered;mse_filtered;mse_delta
random;svd;0,405523;0,404911;-0,000612;0,562928;0,554843;-0,008085;0,270057;0,277549;0,007492;0,008735;0,008592;-0,000143
random;knn;0,405755;0,405115;-0,000640;0,562912;0,554835;-0,008077;0,270241;0,277705;0,007464;0,007041;0,006874;-0,000167
random;baseline;0,405918;0,405261;-0,000657;0,563042;0,554962;-0,008079;0,270856;0,278280;0,007424;0,005637;0,005495;-0,000142
random;avg;0,405732;0,405096;-0,000636;0,562960;0,554880;-0,008081;0,270385;0,277845;0,007460;0,007138;0,006987;-0,000151
top;svd;0,350319;0,349292;-0,001027;0,539074;0,534264;-0,004810;0,213937;0,216039;0,002102;0,003921;0,003932;0,000011
top;knn;0,352144;0,351027;-0,001117;0,539106;0,534291;-0,004815;0,214996;0,216955;0,001959;0,003185;0,003184;-0,000002
top;baseline;0,351414;0,350346;-0,001069;0,539136;0,534318;-0,004817;0,215351;0,217320;0,001969;0,003159;0,003152;-0,000007
top;avg;0,351292;0,350222;-0,001071;0,539105;0,534291;-0,004814;0,214761;0,216772;0,002010;0,003422;0,003422;0,000001
