user_type,rating_type,model,fold,n_users,true_avg_unfiltered,true_top_unfiltered,true_min_unfiltered,mse_unfiltered,true_avg_filtered,true_top_filtered,true_min_filtered,mse_filtered
top,enjoyment,svd,0,9643,0.3504343189914628,0.5389725386508347,0.21395858498371878,0.003926281823023977,0.34945043605194936,0.5343416129492897,0.21592600058653943,0.003941465863583448
top,enjoyment,svd,1,9643,0.3504199232000383,0.5398778883480245,0.21424961659618377,0.0039215185800557184,0.34925690096542417,0.5348059307756922,0.21623636664533857,0.003930960648263317
top,enjoyment,svd,2,9643,0.35010240243284485,0.5383710336876489,0.2136034772037748,0.00391419213153848,0.349168096797204,0.5336447805548066,0.21595569284745414,0.003922766935031323
top,enjoyment,knn,0,9643,0.3522431253586287,0.5390086772052266,0.21505015914093126,0.003184932426539113,0.35115483771309625,0.5343732727574407,0.21692309357357667,0.003185369040465614
top,enjoyment,knn,1,9643,0.3522251582517338,0.5399070290822358,0.21512992635663175,0.0031859304449280844,0.35098057205879757,0.5348296419910815,0.21702184300124444,0.0031815126425061378
top,enjoyment,knn,2,9643,0.3519649736205177,0.5384022031950637,0.2148073458569947,0.00318530767863364,0.35094656583653716,0.5336688792751219,0.21692071076293684,0.003183995723674611
top,enjoyment,baseline,0,9643,0.3515230517579235,0.5390514170424142,0.21538577700985176,0.003158150445921388,0.3504956565589223,0.534407950431401,0.21717534055688062,0.0031553456554387176
top,enjoyment,baseline,1,9643,0.35150430451451614,0.5399338949279269,0.21562617105755472,0.0031603176890224343,0.3503087040841071,0.534848731720419,0.2175427556462719,0.003148849761620883
top,enjoyment,baseline,2,9643,0.3512151842189011,0.5384216537581665,0.2150423580711397,0.00315820307841454,0.35023253367059404,0.5336985976760343,0.21724241922824847,0.003151945752234229
top,playcount,svd,0,9643,0.0009366676435401436,0.007735145304852742,3.306631057928031e-05,0.0004563002606821549,0.0009251893088465528,0.007563125435000829,3.59566851386498e-05,0.000462224420696058
top,playcount,svd,1,9643,0.000937874445450259,0.007838041042624184,3.2408923328632165e-05,0.0004618411259056185,0.0009249634254161366,0.007620682746519963,3.4756354616716794e-05,0.00046825943897280706
top,playcount,svd,2,9643,0.0009360719617702197,0.007847321642219745,3.2156082102872544e-05,0.0004644537820858431,0.000922562066224284,0.0076147529527514244,3.415485861122057e-05,0.000467214568592927
top,playcount,knn,0,9643,0.0012217422508654116,0.008511998672653221,3.591410137840921e-05,5.129488870428538e-06,0.0011933014630460695,0.008292984931628436,3.844251374520378e-05,3.260568174410041e-06
top,playcount,knn,1,9643,0.0012244243147063027,0.008668890650897024,3.521146886518718e-05,2.947487289307238e-06,0.0011939769984007065,0.008407998417088771,3.7231537283625424e-05,2.816657223397927e-06
top,playcount,knn,2,9643,0.00122214353528807,0.00869800198486104,3.503048776615162e-05,3.5319479715197666e-06,0.0011910885872313329,0.008412898211932179,3.666996356839158e-05,2.7866523414862356e-06
top,playcount,baseline,0,9643,0.0012225969074814856,0.008505217204987555,3.677642308897646e-05,2.9273747782172177e-06,0.0011953176456760374,0.00829401492725739,3.93873415453697e-05,2.8258643449982645e-06
top,playcount,baseline,1,9643,0.0012250632312173367,0.008662401946868195,3.609242096920046e-05,3.226901507745079e-06,0.001196224783606563,0.00840304272958799,3.8144427230218806e-05,3.082902918517806e-06
top,playcount,baseline,2,9643,0.0012223898558937694,0.008690986305190811,3.5796995948045214e-05,3.897287578935155e-06,0.0011926897642487485,0.008407979783646376,3.748704000186664e-05,3.09231207824471e-06
random,enjoyment,svd,0,3991,0.40575189284868035,0.563580493064395,0.2696720455875721,0.008651902214520144,0.40546432313306174,0.5558640351190178,0.27772082347030813,0.008500088303864683
random,enjoyment,svd,1,3991,0.4054709441316199,0.5633605748358808,0.27024272200526184,0.008862384970503552,0.40470002207356787,0.5554116189100476,0.27699912490553746,0.008709470088845008
random,enjoyment,svd,2,3991,0.40534522589075156,0.5618425580481082,0.2702565626797795,0.008689669643569202,0.40456875352820637,0.5532523666249061,0.27792816620320726,0.008566338458123416
random,enjoyment,knn,0,3991,0.4059866477886704,0.5636027209671762,0.26981236305186673,0.007015232123778164,0.4056680814303056,0.5559041898772237,0.27782841228764715,0.006843898523349811
random,enjoyment,knn,1,3991,0.405710002453459,0.5633190991355549,0.27050676243522925,0.007102735315160303,0.4049066874110271,0.5553511422851415,0.27715509775444747,0.0069288490603487615
random,enjoyment,knn,2,3991,0.40556812806384096,0.5618142203958908,0.2704038923114508,0.007003876221128697,0.4047693505237714,0.5532488835655225,0.27813221228940116,0.006849240533725671
random,enjoyment,baseline,0,3991,0.4061669659414892,0.5637258308995239,0.27041614587822604,0.005614296746520199,0.4058391813976822,0.5560283195840642,0.2784287836908043,0.005466369082338478
random,enjoyment,baseline,1,3991,0.4058507734645339,0.5634838125156602,0.2709175151212728,0.005687715166694672,0.4050223062128312,0.5555221158331245,0.27757567910749187,0.0055530317355032615
random,enjoyment,baseline,2,3991,0.4057352507778726,0.5619150045803057,0.27123416457905286,0.005610325770312817,0.40492142644910345,0.5533361780731646,0.2788349476113756,0.005466003470460859
random,playcount,svd,0,3988,0.005050763633647559,0.028732816235862588,0.0004333226395862587,0.001682700960520264,0.00484706008913139,0.026808014861827986,0.00047526786928284853,0.0017103953951219135
random,playcount,svd,1,3988,0.005044866815033929,0.028428755146173525,0.00043231996436810427,0.0016856377400252952,0.004866817122297651,0.026468693014398196,0.00045914151583500496,0.0017006837256442848
random,playcount,svd,2,3988,0.0049888022778685785,0.028446636143307422,0.00044827920535606825,0.001668683913070234,0.004770902826274404,0.026310521046542128,0.0004899737660105316,0.001671925511506521
random,playcount,knn,0,3988,0.005103907904917319,0.028843946028314946,0.00043340619581995986,0.00010599211370363576,0.004894638679761932,0.026900093830559177,0.0004755185379889668,9.906907030153835e-05
random,playcount,knn,1,3988,0.005094297011778011,0.02862728476169509,0.00043298841423269804,0.0001072918319501138,0.004910552961740329,0.026661707926434304,0.0004598099656995987,0.00010142567201533677
random,playcount,knn,2,3988,0.005040912123142249,0.028690871024175026,0.00044844631782848545,0.00010004737703567877,0.004817764504377087,0.026490334064270312,0.0004900573222467402,9.373271024899158e-05
random,playcount,baseline,0,3988,0.005120530581958416,0.028915052379994987,0.0004333226395862587,9.630395824103416e-05,0.004910109116323492,0.026977383346231194,0.00047535142551905705,8.944060255798273e-05
random,playcount,baseline,1,3988,0.005112963474360057,0.028673157130677036,0.0004332390829312939,9.125394820176738e-05,0.004927934329466609,0.02671618658754263,0.0004600606343981946,8.867163700123603e-05
random,playcount,baseline,2,3988,0.0050581890454492705,0.028777853054892177,0.00044852987406970916,8.872449534258763e-05,0.004833796438878191,0.02657572853430542,0.0004902244347241725,8.183641423861416e-05
